time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-24 18:00:00,30.0,-7.9,8.0,0.0,,20.0,14.8,,1016.8,,1.0
2019-10-24 19:00:00,31.7,-8.3,7.0,0.0,,20.0,5.4,,1016.7,,1.0
2019-10-24 20:00:00,32.2,-8.0,7.0,0.0,,20.0,5.4,,1016.2,,2.0
2019-10-24 21:00:00,33.3,-7.2,7.0,0.0,,70.0,13.0,,1015.6,,2.0
2019-10-24 22:00:00,33.9,-6.7,7.0,0.0,,110.0,14.8,,1015.1,,2.0
2019-10-24 23:00:00,33.3,-5.4,8.0,0.0,,110.0,18.4,,1015.2,,2.0
2019-10-25 00:00:00,31.1,-5.5,9.0,0.0,,110.0,14.8,,1015.2,,2.0
2019-10-25 01:00:00,28.3,-3.8,12.0,0.0,,100.0,14.8,,1015.1,,2.0
2019-10-25 02:00:00,22.2,-2.5,19.0,,,130.0,0.0,,1015.5,,2.0
2019-10-25 03:00:00,22.8,-2.8,18.0,0.0,,80.0,7.6,,1016.1,,1.0
2019-10-25 04:00:00,16.1,0.6,35.0,0.0,,330.0,0.0,,1016.6,,1.0
2019-10-25 05:00:00,13.9,5.0,55.0,0.0,,290.0,0.0,,1017.3,,1.0
2019-10-25 06:00:00,13.3,-0.7,38.0,0.0,,290.0,0.0,,1017.6,,1.0
2019-10-25 07:00:00,12.8,-0.5,40.0,,,250.0,0.0,,1017.9,,1.0
2019-10-25 08:00:00,11.7,-0.5,43.0,,,10.0,5.4,,1017.8,,1.0
2019-10-25 09:00:00,11.1,-0.7,44.0,0.0,,324.0,0.0,,1017.7,,1.0
2019-10-25 10:00:00,9.4,0.6,54.0,0.0,,340.0,0.0,,1017.8,,1.0
2019-10-25 11:00:00,11.7,-2.2,38.0,0.0,,360.0,5.4,,1017.7,,1.0
2019-10-25 12:00:00,9.4,0.0,52.0,0.0,,345.0,0.0,,1017.9,,1.0
2019-10-25 13:00:00,9.4,-1.1,48.0,0.0,,325.0,0.0,,1018.1,,1.0
2019-10-25 14:00:00,7.8,-0.7,55.0,0.0,,306.0,0.0,,1018.3,,1.0
2019-10-25 15:00:00,7.8,0.0,58.0,0.0,,340.0,0.0,,1018.5,,1.0
2019-10-25 16:00:00,14.4,1.6,42.0,0.0,,350.0,0.0,,1019.0,,1.0
2019-10-25 17:00:00,19.4,0.4,28.0,0.0,,20.0,0.0,,1019.2,,1.0
2019-10-25 18:00:00,22.2,-1.8,20.0,0.0,,250.0,7.6,,1018.9,,1.0
2019-10-25 19:00:00,25.0,2.4,23.0,0.0,,230.0,11.2,,1018.4,,1.0
